Name,Date,Position Name,Total Distance (m),Total Player Load,Velocity Band 5 Total Distance (m),Velocity Band 6 Total Distance (m),Velocity Band 7 Total Distance (m),Velocity Band 8 Total Distance (m),Acceleration B2 Distance (Gen 2) (m),Acceleration B3 Distance (Gen 2) (m),Deceleration B2 Distance (Gen 2) (m),Deceleration B3 Distance (Gen 2) (m)
USER ZVE0A - 27/01/2024,27/01/2024,DEFENSA CENTRAL,5606.09961,506.89124,223.44,61.55,0,0,6.81,0,7.55,1.21
USER VVE0A- 18/01/2024,18/01/2024,Goal keeper,2490.39697,292.10266,1.24,0,0,0,0,0,1,0.98
USER VVE0A- 20/01/2024,20/01/2024,Goal keeper,2480.84741,227.16382,0,0,0,0,4.82,0,1.3,0
USER VVE0A- 25/01/2024,25/01/2024,Goal keeper,4029.79614,391.612,49.32,0,0,0,5.95,0,1.9,0.43
USER VVE0A- 26/01/2024,26/01/2024,Goal keeper,1450.74588,155.66514,0,0,0,0,0.36,0,0,0
USER AVE0E - 17/05/2023,17/05/2023,EXTREMO,9572.27112,1150.44135,547.28999,124.21,0.64,0,3.79,0,8.73,0.44
USER AVE0E - 19/05/2023,19/05/2023,EXTREMO,3212.45605,458.0222,127.86,11.63,0,0,3.71,0,0.95,0
USER AVE0E - 20/05/2023,20/05/2023,EXTREMO,8995.20837,1084.18735,496.40999,240.67001,55.49,0,2.84,0,8.07,0.6
USER AVE0E - 23/05/2023,23/05/2023,EXTREMO,3410.86115,516.10468,129.56,37.85,28.12,0,2.6,0,1.27,0.21
USER AVE0E - 24/05/2023,24/05/2023,EXTREMO,2823.78082,313.77644,62.06,26.2,1.87,0,0.27,0,1.93,0
USER AVE0E - 25/05/2023,25/05/2023,EXTREMO,6016.39246,764.81976,262.21,60.44,25.52,0,4.1,0,3.75,0
USER AVE0E - 26/05/2023,26/05/2023,EXTREMO,1561.52048,253.22818,5.19,0,0,0,7.68,0,0.78,0
USER AVE0E - 27/05/2023,27/05/2023,EXTREMO,7760.36011,888.65285,294.24999,97.82,6.91,0,3.97,0,2.68,0.1
USER AVE0E - 03/10/2023,03/10/2023,EXTREMO,3523.07068,445.36814,99.84,19.56,0,0,3.39,0,1.25,0.45
USER AVE0E - 04/10/2023,04/10/2023,EXTREMO,7172.49658,811.3588,313.57,182.49999,48.72,0,2.67,0,8.64,0.42
USER AVE0E - 06/10/2023,06/10/2023,EXTREMO,2654.38318,341.70543,1.73,0,0,0,0.68,0,0.54,0
USER AVE0E - 07/10/2023,07/10/2023,EXTREMO,2631.08813,329.72327,84.57,9.93,0,0,12.46,0,4.73,0
USER AVE0E - 09/10/2023,09/10/2023,EXTREMO,1356.64502,291.10402,0,0,0,0,0,0,0,0
USER AVE0E - 10/10/2023,10/10/2023,EXTREMO,2138.46704,247.80101,194.14999,10.64,19.15,7.38,7.47,0,1.42,0.32
USER AVE0E - 11/10/2023,11/10/2023,EXTREMO,7119.21802,793.34357,396.85001,199.8,86.27,0,3.35,0,7.6,0.9
USER AVE0E - 19/01/2024,19/01/2024,EXTREMO,3739.82889,503.77243,40.25,12.87,0,0,7.38,0,2.58,0
USER AVE0E - 20/01/2024,20/01/2024,EXTREMO,4404.82324,533.25305,174.10001,56.72,16.27,0,20.83,0,9.63,0.49
USER AVE0E - 24/01/2024,24/01/2024,EXTREMO,4004.38696,571.64882,222.29,63.98,0,0,33.9,0,9.06,2.29
USER AVE0E - 25/01/2024,25/01/2024,EXTREMO,5676.14014,710.92163,185.91001,117.26,0,0,31,1.07,15.63,1.19
USER AVE0E - 26/01/2024,26/01/2024,EXTREMO,2984.32837,426.57843,47.99,0,0,0,13.32,0,6.56,0.53
USER AVE0E - 27/01/2024,27/01/2024,EXTREMO,7298.68762,860.94119,450.62999,139.72,0,0,40.95,0,22.93,6.08
USER LVE0K - 17/05/2023,17/05/2023,EXTREMO,3790.72803,427.62762,391,161.89,0,0,1.1,0,3.13,0.38
USER LVE0K - 18/05/2023,18/05/2023,EXTREMO,3947.07771,469.31267,46.43,3.5,0,0,0,0,0.75,0
USER LVE0K - 19/05/2023,19/05/2023,EXTREMO,2332.60004,299.27102,149.44,0.51,0,0,1.61,0,0.39,0
USER LVE0K - 22/05/2023,22/05/2023,EXTREMO,4939.38855,605.90334,230.82999,76.83,0,0,2.04,0,5.93,0.4
USER LVE0K - 23/05/2023,23/05/2023,EXTREMO,2795.90234,331.91998,190.19,90.2,27.8,0,0,0,1.24,0
USER LVE0K - 24/05/2023,24/05/2023,EXTREMO,3290.36328,389.22939,102.48,50.34,0,0,1.56,0,1.92,0
USER LVE0K - 25/05/2023,25/05/2023,EXTREMO,6239.2467,725.51126,475.89001,179.26,21.09,0,4.35,0,6.3,0.66
USER LVE0K - 26/05/2023,26/05/2023,EXTREMO,1103.88567,191.91252,0,0,0,0,1.25,0,0.56,0
USER LVE0K - 27/05/2023,27/05/2023,EXTREMO,449.96503,52.38661,35.51,0,0,0,2.11,1.17,0.16,0
USER LVE0K - 18/01/2024,18/01/2024,EXTREMO,2100.54117,216.43863,149.57,40.32,0,0,14.96,0,6.86,1.41
USER LVE0K - 19/01/2024,19/01/2024,EXTREMO,3233.1236,393.62897,11.18,0,0,0,0.62,0,0,0
USER LVE0K - 20/01/2024,20/01/2024,EXTREMO,4212.36133,462.1731,269.41,114.44,4.68,0,6.35,0,10.78,1.68
USER LVE0K - 24/01/2024,24/01/2024,EXTREMO,3512.1394,438.68383,112.19,24.22,0,0,27.78,0,15.59,3.05
USER LVE0K - 25/01/2024,25/01/2024,EXTREMO,4657.05212,591.94724,173.83,63.65,5.5,0,16.47,0.6,12.62,2.97
USER LVE0K - 26/01/2024,26/01/2024,EXTREMO,2788.39056,366.68063,82.14,16.44,0,0,5.54,0,2.05,0.24
USER LVE0K - 27/01/2024,27/01/2024,EXTREMO,6792.20016,701.45791,424.46,146.08,6.56,0,33.53,0,20.73,0.79
USER MVE0K - 17/05/2023,17/05/2023,Goal keeper,4602.47986,422.98468,13.35,3.61,0,0,5,0,1.95,0.78
USER MVE0K - 18/05/2023,18/05/2023,Goal keeper,1609.36206,224.9903,0,0,0,0,6.4,0,0.16,0
USER MVE0K - 19/05/2023,19/05/2023,Goal keeper,1641.05559,197.48335,0,0,0,0,4.87,0,0,0
USER MVE0K - 20/05/2023,20/05/2023,Goal keeper,5018.38477,497.10548,59.87,48.73,0,0,0.72,0,2.08,0.1
USER MVE0K - 22/05/2023,22/05/2023,Goal keeper,2171.56961,235.9178,0,0,0,0,0.32,0,0,0
USER MVE0K - 24/05/2023,24/05/2023,Goal keeper,1397.00879,167.9818,0,0,0,0,0.33,0,0,0
USER MVE0K - 25/05/2023,25/05/2023,Goal keeper,1451.3988,139.76016,10.96,0,0,0,0,0,0,0
USER MVE0K - 27/05/2023,27/05/2023,Goal keeper,3752.6203,357.27608,52.91,26.99,0,0,3.26,0,0.17,0
USER MVE0K - 18/01/2024,18/01/2024,Goal keeper,2014.08154,269.34824,0,0,0,0,0,0,6.84,4.29
USER MVE0K - 20/01/2024,20/01/2024,Goal keeper,2258.1311,190.69089,2.19,0,0,0,7.24,0,5.72,3.72
USER MVE0K - 25/01/2024,25/01/2024,Goal keeper,3768.59711,401.14239,17.88,0,0,0,6.12,0,9.29,1.19
USER MVE0K - 26/01/2024,26/01/2024,Goal keeper,1198.10376,137.80169,0,0,0,0,1.12,0,0.87,0
USER BVE0M - 17/05/2023,17/05/2023,EXTREMO,9440.1261,959.71617,673.09999,240.77,101.06,0,6.21,10.1,9.39,1.45
USER BVE0M - 19/05/2023,19/05/2023,EXTREMO,2390.84213,262.85797,88.25,6.44,0,0,1.49,0,0.77,0
USER BVE0M - 20/05/2023,20/05/2023,EXTREMO,8755.09607,899.05045,704.12,365.75999,127.06,0,1.17,0,12.37,2.41
USER BVE0M - 23/05/2023,23/05/2023,EXTREMO,3210.68521,396.19862,239.78999,63.24,0,0,3.77,0,1.6,0
USER BVE0M - 24/05/2023,24/05/2023,EXTREMO,3283.0094,323.30653,83.36,14.5,3.39,0,0.27,0,1.48,0
USER BVE0M - 25/05/2023,25/05/2023,EXTREMO,4406.47095,509.29565,174.28999,77.27,0,0,0,0,2.35,0.48
USER BVE0M - 26/05/2023,26/05/2023,EXTREMO,1308.15437,173.8986,4.9,0,0,0,1.1,0,0.3,0
USER BVE0M - 27/05/2023,27/05/2023,EXTREMO,10154.19885,1017.51318,521.18998,223.01,32.86,0,0.4,0,8.53,0.39
USER BVE0M - 19/01/2024,19/01/2024,EXTREMO,3529.76526,406.6567,24.65,0,0,0,1.42,0,1.11,0
USER BVE0M - 20/01/2024,20/01/2024,EXTREMO,4202.72949,437.35925,203.84,79.86,38.08,0,10.2,0,5.24,0.41
USER BVE0M - 24/01/2024,24/01/2024,EXTREMO,3962.03015,477.92682,175.35,39.5,0,0,25.55,0,11.59,0.39
USER BVE0M - 25/01/2024,25/01/2024,EXTREMO,6234.79883,640.16394,224.40999,64.12,0,0,11.72,1,14.91,2.33
USER BVE0M - 26/01/2024,26/01/2024,EXTREMO,2903.74622,359.22466,73.35,0,0,0,0.69,0,5.07,0
USER BVE0M - 27/01/2024,27/01/2024,EXTREMO,7182.08173,725.34104,343.30001,94.84,8.19,0,14.13,0,16.13,0.45
USER TVE0MS- 18/05/2023,18/05/2023,EXTREMO,4079.79614,486.10803,55.82,14.84,0,0,0,0,0.21,0
USER TVE0MS- 19/05/2023,19/05/2023,EXTREMO,2349.0397,275.07857,122.56,26.52,0,0,2.49,3.18,3.57,0
USER TVE0MS- 22/05/2023,22/05/2023,EXTREMO,5617.3591,609.73624,260.18001,51.01,0.53,0,0.31,0,4.41,0.85
USER TVE0MS- 23/05/2023,23/05/2023,EXTREMO,2695.90414,309.70815,130.59,97.24,31.72,0,0.29,0,1.54,0
USER TVE0MS- 24/05/2023,24/05/2023,EXTREMO,2839.13434,286.3062,89.42,24.5,0.61,0,0.33,0,1.33,0
USER TVE0MS- 25/05/2023,25/05/2023,EXTREMO,6099.77051,672.70825,316.65001,207.33,27.29,0,1.88,0,5.27,0.26
USER TVE0MS- 26/05/2023,26/05/2023,EXTREMO,1367.65375,217.34543,19.84,0,0,0,2.6,0,0.4,0
USER TVE0MS- 03/10/2023,03/10/2023,EXTREMO,3616.54834,464.02805,45.91,22.77,0,0,0.22,0,0.34,0
USER TVE0MS- 04/10/2023,04/10/2023,EXTREMO,6459.17505,701.77713,240.16,89.26,22.64,14.18,1.53,0,3.09,0.28
USER TVE0MS- 06/10/2023,06/10/2023,EXTREMO,2577.23486,361.68304,8.56,0,0,0,0.29,0,0.11,0
USER TVE0MS- 07/10/2023,07/10/2023,EXTREMO,4264.08777,485.74811,165.25,26.05,0,0,8.62,9.66,2.99,0.51
USER TVE0MS- 09/10/2023,09/10/2023,EXTREMO,3271.29605,279.45889,4.9,0,0,0,1.26,0,0.36,0
USER TVE0MS- 10/10/2023,10/10/2023,EXTREMO,1590.1781,172.31482,35.6,9.97,26.12,3.26,11.18,0.85,1.93,0.29
USER TVE0MS- 11/10/2023,11/10/2023,EXTREMO,6455.71411,681.04504,413.12,220.81,20.34,0,0.28,0,10.54,1.65
USER TVE0MS- 19/01/2024,19/01/2024,EXTREMO,3554.87585,473.35219,1.7,0,0,0,5.1,0,1.08,0
USER TVE0MS- 20/01/2024,20/01/2024,EXTREMO,3999.55713,457.04337,186.37,85.48,0,0,11.4,0,4.9,1.09
